Movie,Studio,Year,Tomatometer,Popcorn meter,Enjoyment,Fun,Silly,NChris
Iron Man,1,2008,94,91,7.456790123,5.5875,2.790123457,
Punisher: War Zone,1,2008,29,42,4.785714286,4.071428571,4.785714286,
The Dark Knight,2,2008,94,94,7.455696203,4.721518987,2.417721519,
The Incredible Hulk,1,2008,68,69,5.444444444,4.092592593,4.537037037,
Watchmen,2,2009,64,71,6.163265306,4.170212766,3.469387755,
X-Men Origins: Wolverine,1,2009,37,58,6.032786885,4.295081967,4.409836066,
Iron Man 2,1,2010,72,71,6.375,4.722222222,3.833333333,
Jonah Hex,2,2010,11,20,4.666666667,4,5,
The Losers,2,2010,47,54,8.7,6.3,2.8,1
Captain America: The First Avenger,1,2011,80,75,7.38961039,5.246753247,2.961038961,1
Ghost Rider: Spirit of Vengeance,1,2012,18,31,4.869565217,3.782608696,5.416666667,
Green Lantern,2,2011,25,45,3.959183673,3.326530612,5.78,
Thor,1,2011,77,76,7.467532468,5.506493506,3.486842105,1
X-Men First Class,1,2011,86,87,7.609375,5.484375,2.984375,
The Amazing Spider-Man,1,2012,71,77,6.465517241,4.93220339,3.983050847,
The Avengers,Marvel,2012,91,91,8.428571429,6.194805195,2.987012987,two
The Dark Knight Rises,DC,2012,87,90,6.671232877,4.178082192,3.315068493,
Iron Man 3,Marvel,2013,79,78,6.261538462,4.615384615,4.476923077,
Man of Steel,DC,2013,56,75,5.529411765,3.68627451,4.37254902,
The Wolverine,Marvel,2013,71,69,6.634146341,4.829268293,3.804878049,
Thor: The Dark World,Marvel,2013,67,74,6.619047619,4.587301587,3.968253968,
The Amazing Spider-Man 2,Marvel,2014,51,64,5.744186047,4.11627907,4.534883721,
Captain America: The Winter Soldier,Marvel,2014,90,92,7.78125,5.359375,2.640625,1
Guardians of the Galaxy,Marvel,2013,82,94,8.768292683,6.707317073,3.658536585,one
X-Men: Days of Future Past,Marvel,2014,90,91,7.23880597,5.089552239,3.492537313,
Ant Man,Marvel,2015,83,85,7.677966102,5.644067797,4.016949153,
Avengers: Age of Ultron,Marvel,2015,75,82,6.890410959,4.643835616,3.917808219,2
Fantastic Four,Marvel,2015,9,18,4.722222222,3.405405405,5.552631579,
Batman v Superman: Dawn of Justice,DC,2016,28,63,4.666666667,3.270833333,5.354166667,
Captain America: Civil War,Marvel,2016,90,89,7.164179104,4.895522388,3.402985075,1
Deadpool,Marvel,2016,85,90,8.905405405,6.662162162,4.040540541,
Doctor Strange,Marvel,2016,89,86,7.682539683,5.365079365,3.375,
Suicide Squad,DC,2016,26,58,5.788461538,4.365384615,5.634615385,
X-Men: Apocalypse,1,2016,47,65,6.294117647,4.352941176,4.176470588,
Guardians of the Galaxy Vol 2,1,2017,85,87,8.306451613,6.241935484,3.806451613,1
Justice League,2,2017,39,67,6.882352941,4.705882353,4.0625,
Logan,1,2017,93,91,8.622222222,4.333333333,1.733333333,
Spider-Man: Homecoming,1,2017,92,87,8.340909091,6.181818182,3.363636364,
Thor: Ragnarok,1,2017,93,87,8.857142857,6.612244898,3.469387755,1
Wonder Woman,2,2017,93,83,8.641791045,5.791044776,2.268656716,1
Avengers: Infinity War,Marvel,2018,85,92,n/a,n/a,n/a,3
